customer_id,customer_name,age,customer_segment,city,registration_date
1,Joko Pratama,24,College Student,Makassar,2026-02-03
2,Lina Pratama,25,Office Worker,Pekanbaru,2025-01-06
3,Dina Sari,23,Office Worker,Jakarta,2025-03-22
4,Gita Nugraha,22,College Student,Bandung,2025-07-08
5,Fajar Saputra,18,High School Student,Palembang,2025-01-28
6,Gita Kurniawan,16,High School Student,Surabaya,2025-05-15
7,Nanda Lestari,17,High School Student,Padang,2025-11-01
8,Dina Wijaya,32,Office Worker,Yogyakarta,2026-05-10
9,Nanda Ramadhan,24,Office Worker,Yogyakarta,2025-10-07
10,Oki Putra,35,Office Worker,Semarang,2025-03-21
11,Eka Wijaya,15,High School Student,Makassar,2026-01-26
12,Citra Saputra,27,Office Worker,Jakarta,2025-01-15
13,Andi Putra,22,Office Worker,Jakarta,2025-08-11
14,Tio Kurniawan,17,High School Student,Yogyakarta,2025-09-23
15,Nanda Saputra,18,High School Student,Surabaya,2025-11-16
16,Joko Kurniawan,18,High School Student,Padang,2025-04-16
17,Fajar Pratama,18,College Student,Semarang,2025-09-10
18,Eka Lestari,20,College Student,Surabaya,2025-07-18
19,Maya Ramadhan,23,College Student,Jakarta,2025-02-25
20,Dina Pratama,21,College Student,Palembang,2026-02-11
21,Budi Putra,22,Office Worker,Yogyakarta,2026-03-14
22,Dina Pratama,18,High School Student,Jakarta,2026-04-02
23,Joko Sari,23,College Student,Pekanbaru,2026-04-22
24,Lina Saputra,20,College Student,Medan,2025-12-13
25,Citra Kurniawan,19,College Student,Bandung,2026-05-01
26,Oki Kurniawan,32,Office Worker,Jakarta,2025-12-29
27,Budi Wijaya,17,High School Student,Jakarta,2025-07-31
28,Putri Kurniawan,20,College Student,Semarang,2026-03-13
29,Andi Saputra,23,College Student,Padang,2025-05-23
30,Putri Saputra,18,High School Student,Makassar,2025-10-12
31,Tio Lestari,27,Office Worker,Bandung,2025-03-11
32,Tio Lestari,15,High School Student,Makassar,2026-06-12
33,Putri Saputra,15,High School Student,Padang,2025-11-06
34,Hadi Putra,35,Office Worker,Jakarta,2025-09-20
35,Salsa Kurniawan,35,Office Worker,Jakarta,2025-03-01
36,Gita Nugraha,31,Office Worker,Palembang,2026-06-06
37,Salsa Ramadhan,19,College Student,Yogyakarta,2025-11-05
38,Intan Ramadhan,17,High School Student,Semarang,2026-06-04
39,Salsa Pratama,29,Office Worker,Palembang,2026-01-17
40,Lina Wijaya,24,College Student,Jakarta,2025-12-07
41,Eka Sari,18,High School Student,Jakarta,2025-03-25
42,Joko Lestari,21,College Student,Jakarta,2025-08-22
43,Tio Kurniawan,18,High School Student,Jakarta,2025-08-28
44,Dina Lestari,28,Office Worker,Yogyakarta,2025-04-14
45,Salsa Wijaya,19,College Student,Makassar,2025-08-13
46,Citra Nugraha,32,Office Worker,Bandung,2025-10-06
47,Putri Permata,24,College Student,Yogyakarta,2026-01-28
48,Maya Lestari,18,College Student,Jakarta,2026-03-05
49,Maya Wijaya,22,College Student,Bandung,2026-02-06
50,Fajar Putra,17,High School Student,Bandung,2025-02-15
51,Maya Permata,33,Office Worker,Jakarta,2026-05-29
52,Eka Wijaya,32,Office Worker,Jakarta,2025-06-25
53,Eka Nugraha,27,Office Worker,Surabaya,2026-01-01
54,Nanda Permata,30,Office Worker,Medan,2025-06-22
55,Lina Ramadhan,22,College Student,Surabaya,2025-10-31
56,Tio Lestari,22,Office Worker,Padang,2025-06-01
57,Andi Sari,17,High School Student,Surabaya,2025-12-17
58,Putri Permata,18,High School Student,Makassar,2025-04-02
59,Intan Saputra,16,High School Student,Yogyakarta,2025-06-10
60,Rian Wijaya,22,College Student,Makassar,2025-04-16
61,Gita Kurniawan,18,College Student,Pekanbaru,2025-04-13
62,Salsa Ramadhan,19,College Student,Palembang,2025-05-12
63,Tio Nugraha,33,Office Worker,Jakarta,2025-10-16
64,Lina Kurniawan,20,College Student,Semarang,2026-04-03
65,Citra Pratama,20,College Student,Bandung,2025-04-11
66,Eka Pratama,22,College Student,Jakarta,2025-01-21
67,Hadi Sari,15,High School Student,Jakarta,2025-09-06
68,Oki Saputra,25,Office Worker,Medan,2025-07-11
69,Nanda Kurniawan,16,High School Student,Bandung,2025-11-09
70,Eka Sari,34,Office Worker,Makassar,2025-06-17
71,Dina Pratama,29,Office Worker,Bandung,2025-06-20
72,Maya Pratama,16,High School Student,Yogyakarta,2025-08-04
73,Citra Ramadhan,15,High School Student,Surabaya,2026-05-24
74,Hadi Putra,22,Office Worker,Semarang,2025-06-23
75,Salsa Kurniawan,33,Office Worker,Palembang,2026-06-20
76,Putri Permata,22,Office Worker,Pekanbaru,2026-02-12
77,Vina Saputra,24,Office Worker,Medan,2026-05-16
78,Rian Lestari,16,High School Student,Palembang,2025-05-18
79,Gita Lestari,19,College Student,Medan,2025-04-09
80,Tio Permata,17,High School Student,Pekanbaru,2025-02-26
81,Intan Ramadhan,29,Office Worker,Pekanbaru,2025-09-04
82,Rian Kurniawan,32,Office Worker,Bandung,2025-04-17
83,Intan Nugraha,20,College Student,Surabaya,2025-02-17
84,Gita Putra,16,High School Student,Jakarta,2025-10-13
85,Nanda Saputra,22,College Student,Yogyakarta,2025-02-15
86,Joko Nugraha,20,College Student,Semarang,2026-01-31
87,Putri Wijaya,28,Office Worker,Jakarta,2025-04-30
88,Karin Ramadhan,33,Office Worker,Surabaya,2025-03-01
89,Fajar Sari,24,Office Worker,Medan,2025-05-27
90,Putri Wijaya,21,College Student,Surabaya,2026-05-12
91,Intan Putra,15,High School Student,Yogyakarta,2025-04-28
92,Citra Ramadhan,34,Office Worker,Semarang,2025-08-25
93,Rian Wijaya,25,Office Worker,Yogyakarta,2025-08-06
94,Budi Putra,20,College Student,Makassar,2025-05-04
95,Fajar Lestari,26,Office Worker,Pekanbaru,2025-09-20
96,Karin Putra,24,College Student,Palembang,2025-06-19
97,Salsa Ramadhan,22,College Student,Semarang,2026-01-27
98,Intan Nugraha,21,College Student,Semarang,2025-05-30
99,Tio Saputra,18,High School Student,Yogyakarta,2025-09-03
100,Andi Lestari,18,High School Student,Yogyakarta,2026-05-16
101,Putri Ramadhan,16,High School Student,Jakarta,2025-07-10
102,Salsa Wijaya,31,Office Worker,Makassar,2025-06-23
103,Andi Ramadhan,22,College Student,Semarang,2025-06-21
104,Tio Ramadhan,23,College Student,Jakarta,2025-12-04
105,Tio Putra,27,Office Worker,Yogyakarta,2026-02-15
106,Eka Permata,16,High School Student,Surabaya,2025-03-11
107,Intan Nugraha,20,College Student,Yogyakarta,2025-04-08
108,Nanda Permata,22,Office Worker,Makassar,2026-06-01
109,Hadi Permata,15,High School Student,Bandung,2025-07-04
110,Rian Saputra,15,High School Student,Yogyakarta,2026-02-17
111,Vina Lestari,19,College Student,Yogyakarta,2026-01-13
112,Budi Lestari,18,High School Student,Palembang,2025-01-12
113,Tio Kurniawan,28,Office Worker,Surabaya,2026-02-13
114,Nanda Kurniawan,26,Office Worker,Jakarta,2026-02-22
115,Gita Permata,23,Office Worker,Padang,2025-11-27
116,Rian Wijaya,29,Office Worker,Jakarta,2025-10-07
117,Oki Putra,32,Office Worker,Padang,2025-04-25
118,Dina Lestari,17,High School Student,Yogyakarta,2025-07-29
119,Joko Saputra,34,Office Worker,Makassar,2026-03-23
120,Nanda Putra,22,College Student,Jakarta,2026-01-29
121,Joko Kurniawan,27,Office Worker,Bandung,2025-06-30
122,Salsa Nugraha,25,Office Worker,Yogyakarta,2026-04-10
123,Maya Saputra,22,College Student,Medan,2025-01-28
124,Budi Lestari,18,High School Student,Makassar,2025-07-12
125,Dina Putra,16,High School Student,Yogyakarta,2025-09-13
126,Oki Nugraha,20,College Student,Semarang,2026-02-28
127,Intan Permata,28,Office Worker,Jakarta,2025-04-01
128,Citra Lestari,24,Office Worker,Jakarta,2025-05-25
129,Oki Putra,15,High School Student,Surabaya,2026-03-28
130,Rian Kurniawan,22,College Student,Bandung,2026-03-04
131,Putri Permata,19,College Student,Semarang,2025-08-30
132,Karin Kurniawan,16,High School Student,Medan,2026-05-01
133,Hadi Wijaya,16,High School Student,Padang,2025-01-31
134,Tio Kurniawan,23,College Student,Yogyakarta,2025-03-01
135,Citra Permata,25,Office Worker,Medan,2026-04-21
136,Dina Wijaya,23,College Student,Pekanbaru,2025-04-11
137,Putri Sari,20,College Student,Yogyakarta,2025-09-30
138,Rian Lestari,28,Office Worker,Medan,2026-04-23
139,Rian Permata,24,College Student,Jakarta,2025-02-27
140,Fajar Sari,25,Office Worker,Padang,2026-05-20
141,Nanda Nugraha,23,Office Worker,Pekanbaru,2026-01-22
142,Eka Permata,20,College Student,Padang,2026-04-06
143,Oki Lestari,24,College Student,Bandung,2025-02-14
144,Andi Kurniawan,20,College Student,Bandung,2025-10-18
145,Intan Wijaya,24,College Student,Surabaya,2025-09-15
146,Dina Sari,15,High School Student,Jakarta,2025-09-03
147,Nanda Saputra,23,Office Worker,Palembang,2025-08-28
148,Putri Saputra,19,College Student,Palembang,2026-02-17
149,Joko Sari,18,High School Student,Palembang,2025-05-08
150,Oki Kurniawan,18,College Student,Bandung,2025-10-03
151,Gita Putra,33,Office Worker,Bandung,2026-02-22
152,Putri Lestari,17,High School Student,Yogyakarta,2025-07-26
153,Citra Pratama,18,High School Student,Semarang,2025-12-31
154,Hadi Saputra,24,College Student,Yogyakarta,2025-12-12
155,Vina Lestari,35,Office Worker,Medan,2025-06-09
156,Citra Putra,16,High School Student,Pekanbaru,2025-04-06
157,Budi Wijaya,35,Office Worker,Semarang,2026-03-01
158,Rian Nugraha,27,Office Worker,Makassar,2025-04-26
159,Vina Pratama,16,High School Student,Makassar,2025-07-31
160,Joko Kurniawan,22,Office Worker,Makassar,2025-11-03
161,Fajar Saputra,19,College Student,Makassar,2025-09-25
162,Lina Kurniawan,25,Office Worker,Palembang,2025-02-13
163,Lina Nugraha,24,Office Worker,Jakarta,2026-04-03
164,Salsa Permata,23,College Student,Semarang,2026-04-17
165,Lina Pratama,15,High School Student,Bandung,2025-01-09
166,Andi Ramadhan,29,Office Worker,Jakarta,2025-07-08
167,Salsa Ramadhan,24,College Student,Semarang,2026-01-16
168,Putri Pratama,18,High School Student,Semarang,2025-04-25
169,Joko Wijaya,18,High School Student,Palembang,2026-05-17
170,Putri Kurniawan,21,College Student,Surabaya,2026-01-23
171,Budi Putra,33,Office Worker,Padang,2026-03-15
172,Fajar Ramadhan,15,High School Student,Makassar,2025-11-15
173,Eka Permata,20,College Student,Semarang,2026-03-20
174,Dina Nugraha,16,High School Student,Padang,2025-01-28
175,Gita Ramadhan,25,Office Worker,Pekanbaru,2026-02-02
176,Maya Permata,15,High School Student,Makassar,2025-03-18
177,Maya Permata,31,Office Worker,Surabaya,2025-12-24
178,Joko Permata,24,College Student,Jakarta,2025-07-05
179,Andi Nugraha,22,Office Worker,Surabaya,2025-08-22
180,Hadi Sari,15,High School Student,Medan,2025-09-05
181,Eka Wijaya,18,College Student,Bandung,2026-02-03
182,Oki Pratama,18,High School Student,Padang,2025-11-25
183,Maya Wijaya,22,Office Worker,Surabaya,2025-01-05
184,Vina Nugraha,23,Office Worker,Jakarta,2025-12-14
185,Maya Putra,21,College Student,Jakarta,2026-02-03
186,Intan Wijaya,28,Office Worker,Makassar,2025-09-16
187,Karin Lestari,23,Office Worker,Palembang,2026-02-23
188,Andi Pratama,22,College Student,Surabaya,2026-01-26
189,Maya Pratama,24,College Student,Surabaya,2025-04-25
190,Budi Saputra,15,High School Student,Padang,2025-01-04
191,Gita Kurniawan,16,High School Student,Palembang,2025-05-08
192,Dina Saputra,27,Office Worker,Pekanbaru,2025-01-09
193,Tio Lestari,25,Office Worker,Makassar,2025-11-20
194,Eka Kurniawan,27,Office Worker,Palembang,2025-04-28
195,Maya Wijaya,24,College Student,Makassar,2026-04-12
196,Intan Lestari,21,College Student,Jakarta,2026-04-08
197,Tio Lestari,28,Office Worker,Makassar,2025-05-05
198,Lina Putra,30,Office Worker,Semarang,2025-08-11
199,Putri Pratama,24,Office Worker,Jakarta,2025-11-24
200,Vina Permata,24,Office Worker,Bandung,2025-09-16
201,Fajar Saputra,23,Office Worker,Pekanbaru,2025-03-08
202,Gita Nugraha,15,High School Student,Jakarta,2025-03-03
203,Joko Ramadhan,16,High School Student,Yogyakarta,2026-06-10
204,Nanda Ramadhan,22,Office Worker,Yogyakarta,2025-10-06
205,Nanda Ramadhan,34,Office Worker,Surabaya,2025-05-03
206,Lina Putra,17,High School Student,Jakarta,2025-09-29
207,Joko Permata,16,High School Student,Makassar,2026-05-17
208,Hadi Kurniawan,28,Office Worker,Bandung,2025-09-26
209,Maya Permata,17,High School Student,Jakarta,2025-08-06
210,Rian Wijaya,17,High School Student,Surabaya,2025-06-08
211,Rian Sari,18,College Student,Makassar,2025-12-26
212,Andi Permata,35,Office Worker,Yogyakarta,2026-04-10
213,Nanda Pratama,23,Office Worker,Padang,2026-06-28
214,Maya Saputra,17,High School Student,Surabaya,2025-09-05
215,Nanda Pratama,22,Office Worker,Medan,2025-10-18
216,Eka Sari,16,High School Student,Jakarta,2025-02-05
217,Tio Putra,23,College Student,Semarang,2025-03-07
218,Nanda Nugraha,32,Office Worker,Jakarta,2026-03-03
219,Eka Nugraha,26,Office Worker,Padang,2025-06-06
220,Budi Saputra,29,Office Worker,Pekanbaru,2025-05-01
221,Intan Lestari,33,Office Worker,Jakarta,2025-07-11
222,Salsa Permata,20,College Student,Makassar,2026-04-21
223,Hadi Saputra,16,High School Student,Surabaya,2025-12-20
224,Vina Lestari,18,College Student,Jakarta,2026-06-27
225,Rian Saputra,24,College Student,Yogyakarta,2025-12-23
226,Gita Pratama,16,High School Student,Jakarta,2026-06-15
227,Andi Saputra,29,Office Worker,Jakarta,2026-04-25
228,Dina Sari,20,College Student,Padang,2025-03-14
229,Vina Nugraha,34,Office Worker,Jakarta,2026-01-26
230,Vina Permata,35,Office Worker,Makassar,2025-03-17
231,Fajar Wijaya,29,Office Worker,Jakarta,2025-07-07
232,Fajar Sari,19,College Student,Jakarta,2025-12-04
233,Gita Putra,23,College Student,Yogyakarta,2026-04-21
234,Dina Pratama,23,College Student,Bandung,2025-11-02
235,Fajar Putra,15,High School Student,Makassar,2025-06-11
236,Eka Wijaya,33,Office Worker,Surabaya,2025-02-16
237,Dina Putra,24,College Student,Jakarta,2025-01-24
238,Fajar Nugraha,16,High School Student,Jakarta,2025-12-02
239,Maya Kurniawan,29,Office Worker,Bandung,2025-10-11
240,Joko Wijaya,15,High School Student,Medan,2025-06-23
241,Maya Permata,28,Office Worker,Jakarta,2025-11-03
242,Joko Lestari,25,Office Worker,Pekanbaru,2025-08-18
243,Citra Pratama,30,Office Worker,Surabaya,2025-04-28
244,Intan Pratama,21,College Student,Surabaya,2025-02-22
245,Salsa Kurniawan,18,High School Student,Bandung,2025-07-11
246,Vina Kurniawan,25,Office Worker,Padang,2026-06-07
247,Intan Saputra,18,College Student,Bandung,2025-05-21
248,Tio Wijaya,35,Office Worker,Jakarta,2025-04-23
249,Putri Nugraha,29,Office Worker,Makassar,2025-09-21
250,Maya Wijaya,25,Office Worker,Surabaya,2026-05-06
251,Joko Ramadhan,23,College Student,Jakarta,2025-12-10
252,Salsa Ramadhan,24,College Student,Bandung,2026-06-07
253,Fajar Saputra,29,Office Worker,Surabaya,2025-04-09
254,Fajar Ramadhan,24,College Student,Yogyakarta,2026-04-18
255,Maya Nugraha,16,High School Student,Jakarta,2025-01-23
256,Gita Nugraha,22,College Student,Medan,2025-08-27
257,Andi Kurniawan,27,Office Worker,Medan,2025-09-20
258,Citra Saputra,29,Office Worker,Makassar,2025-11-21
259,Hadi Saputra,24,College Student,Jakarta,2026-01-22
260,Dina Saputra,15,High School Student,Palembang,2025-05-02
261,Maya Saputra,33,Office Worker,Bandung,2025-10-27
262,Joko Saputra,34,Office Worker,Pekanbaru,2025-11-13
263,Lina Nugraha,15,High School Student,Pekanbaru,2025-01-20
264,Lina Sari,21,College Student,Jakarta,2026-06-26
265,Andi Saputra,35,Office Worker,Medan,2025-10-27
266,Putri Ramadhan,33,Office Worker,Medan,2026-04-15
267,Budi Permata,23,Office Worker,Surabaya,2025-03-27
268,Putri Ramadhan,32,Office Worker,Bandung,2026-02-09
269,Maya Sari,18,College Student,Bandung,2025-04-22
270,Joko Nugraha,21,College Student,Jakarta,2025-05-19
271,Hadi Ramadhan,25,Office Worker,Jakarta,2025-01-10
272,Eka Permata,26,Office Worker,Pekanbaru,2025-10-18
273,Fajar Ramadhan,23,Office Worker,Bandung,2026-01-14
274,Rian Ramadhan,28,Office Worker,Jakarta,2025-08-26
275,Rian Nugraha,24,College Student,Semarang,2025-11-26
276,Rian Pratama,22,College Student,Padang,2025-07-04
277,Maya Ramadhan,27,Office Worker,Makassar,2026-03-01
278,Gita Ramadhan,25,Office Worker,Yogyakarta,2025-11-19
279,Fajar Wijaya,29,Office Worker,Semarang,2026-04-27
280,Intan Nugraha,29,Office Worker,Jakarta,2025-12-24
281,Salsa Lestari,33,Office Worker,Palembang,2025-12-28
282,Joko Sari,22,College Student,Semarang,2025-02-05
283,Citra Pratama,21,College Student,Yogyakarta,2026-05-31
284,Citra Kurniawan,16,High School Student,Bandung,2025-11-26
285,Eka Sari,20,College Student,Palembang,2025-09-26
286,Citra Permata,15,High School Student,Palembang,2025-03-11
287,Rian Wijaya,18,College Student,Surabaya,2026-06-03
288,Dina Saputra,18,College Student,Palembang,2026-01-13
289,Nanda Nugraha,20,College Student,Jakarta,2025-10-20
290,Budi Ramadhan,21,College Student,Palembang,2025-10-13
291,Joko Permata,15,High School Student,Palembang,2025-12-26
292,Andi Wijaya,17,High School Student,Bandung,2026-06-08
293,Nanda Kurniawan,23,Office Worker,Yogyakarta,2025-12-03
294,Nanda Pratama,21,College Student,Yogyakarta,2026-06-26
295,Intan Pratama,17,High School Student,Bandung,2025-02-05
296,Nanda Ramadhan,23,College Student,Jakarta,2026-05-03
297,Gita Saputra,32,Office Worker,Palembang,2026-01-14
298,Hadi Putra,18,High School Student,Medan,2025-12-10
299,Fajar Kurniawan,22,Office Worker,Medan,2025-08-18
